HSCode,Commodity,value,country,year
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,422.26,U S A,2011
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",363.38,U S A,2011
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",83.52,U S A,2011
50,SILK,0.75,U S A,2011
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",10.68,U S A,2011
52,COTTON.,93.37,U S A,2011
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.13,U S A,2011
54,MAN-MADE FILAMENTS.,16.86,U S A,2011
55,MAN-MADE STAPLE FIBRES.,31.61,U S A,2011
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",10.86,U S A,2011
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,12.79,U S A,2011
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,1.52,U S A,2011
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",16.5,U S A,2011
60,KNITTED OR CROCHETED FABRICS.,2.03,U S A,2011
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2.26,U S A,2011
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2.97,U S A,2011
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,64.32,U S A,2011
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",5.69,U S A,2011
65,HEADGEAR AND PARTS THEREOF.,0.49,U S A,2011
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.08,U S A,2011
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.28,U S A,2011
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",29.16,U S A,2011
69,CERAMIC PRODUCTS.,13.84,U S A,2011
70,GLASS AND GLASSWARE.,57.31,U S A,2011
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2305,U S A,2011
72,IRON AND STEEL,779.54,U S A,2011
73,ARTICLES OF IRON OR STEEL,252.01,U S A,2011
74,COPPER AND ARTICLES THEREOF.,91.15,U S A,2011
75,NICKEL AND ARTICLES THEREOF.,22.59,U S A,2011
76,ALUMINIUM AND ARTICLES THEREOF.,133.39,U S A,2011
78,LEAD AND ARTICLES THEREOF.,17.52,U S A,2011
